Rent,Address,Zip,num_bedrooms,num_bathrooms,num_sqft
"$2,200",20 Blue Jays Way,M5V,1,1,649
"$2,100",25 Telegram Mews,M5V,1,1,550
"$1,950",38 Joe Shuster Way,M6K,1,1,
"$2,550",75 East Liberty Street,M6K,1,1,640
"$2,250",38 Grenville Street,M4Y,1,1,
"$2,400",44 Saint Joseph Street,M4Y,1,1,
"$1,850",251 Jarvis Street,M5B,1,1,470
"$2,100",1 Belsize Drive,M4S,1,2,2100
"$3,300",37 Grosvenor Street,M4Y,2,2,850
"$2,500",York Street,None,1,1,599
"$2,100",75 Queens Wharf Road,M5V,1,1,500
"$2,400",12 Bonnycastle Street,M5A,1,2,
"$2,050",181 Dundas Street East,M5A,1,1,
"$2,200",88 Blue Jays Way,M5V,1,1,450
"$2,150",10 Capreol Court,M5V,1,1,
"$2,975",500 Sherbourne Street,M4X,2,2,900
"$2,600",43 Eglinton Avenue East,M4P,2,1,700
"$2,350",125 Redpath Avenue,M4S,1,2,
"$2,650",225 Davenport Rd | Unit: 418,M5R,1,1,
"$3,200",152 Saint Patrick Street,M5T,2,2,
"$1,900",560 Front Street West,M5V,1,1,
"$4,995",211 Queens Quay West,M5J,2,2,
"$2,400",110 Charles Street East,M4Y,1,1,
"$2,000",251 Jarvis Street,M5B,1,1,520
"$2,500",761 Bay Street,M5G,1,2,
"$2,900",170 Sumach Street,M5A,2,2,855
"$2,100",30 Ordnance Street,M6K,1,1,664
"$2,800",386 Yonge Street,M5G,2,1 ½,
"$2,250",251 Jarvis Street,M5B,2,1,
"$1,800",125 Redpath Avenue,M4S,1,1,
"$3,600",15 Merchants' Wharf,M5A,2,2,935
"$3,150",125 Peter Street,M5V,3,2,
"$2,450",832 Bay Street,M5S,1,1,512
"$2,400",70 Temperance Street,M5H,1,1,500
"$1,950",30 Ordnance Street,M6K,1,1,575
"$2,399",1 Bloor Street East,M4W,1,1,
"$2,750",251 Jarvis Street,M5B,2,2,
"$3,200",2191 Yonge Street,M4S,2,2,
"$2,050",410 Queens Quay West,M5V,1,1,
"$2,500",501 Saint Clair Avenue West,M5R,1,1,
"$2,500",494 Avenue Road,M4V,2,2,
"$2,150",8 Mercer Street,M5V,1,0 ½,623
"$2,399",461 Adelaide Street West,M5V,2,1,
"$2,950",232 Saint George Street,M5R,2,1,800
"$2,200",15 Queens Quay East,M5E,1,1,585
"$1,850",11 Wellesley Street West,M4Y,1,1,430
"$2,250",30 Ordnance Street,M6K,1,1,648
"$3,300",65 Bremner Boulevard,M5J,2,2,800
"$2,600",550 Queens Quay West,M5V,1,1 ½,830
"$2,000",23 Glebe Road West,M5P,1,1,568
"$2,300",231 Fort York Boulevard,M5V,1,1,630
"$2,000",161 Roehampton Avenue,M4P,1,1,580
"$2,600",Hillsdale Avenue East,None,1,2,
"$2,750",23 Glebe Road West,M5P,2,2,
"$2,900",10 Capreol Court,M5V,2,2,
"$8,900",183 Wellington Street West,M5V,2,2,1675
"$2,200",20 Blue Jays Way,M5V,1,1,600
"$2,700",14 York Street,M5J,2,2,781
"$2,700",17 Pembroke Street,M5A,2,1,850
"$3,500",20 Bruyeres Mews,M5V,2,2,910
"$2,695",10 York Street,M5J,1,1,575
"$1,900",85 Wood Street,M4Y,1,1,468
"$2,495",68 Abell Street,M6J,2,2,
"$2,000",25 Telegram Mews,M5V,1,1,500
"$2,150",8 Mercer Street,M5V,1,0 ½,623
"$2,000",125 Redpath Avenue,M4S,1,1,
"$2,500",80 Vanauley Street,M5T,2,2,765
"$3,200",1 Bloor Street East,M4W,2,2,798
"$2,350",1000 King Street West,M6K,1,1,700
"$2,900",10 Morrison Street,M5V,1,1,760
"$3,000",410 Queens Quay West,M5V,2,2,
"$2,200",21 Iceboat Terrace,M5V,1,1,590
"$3,050",170 Bayview Avenue,M5A,2,2,
"$1,800",320 Richmond Street East,M5A,1,1,
"$2,150",5 Hanna Avenue,M6K,1,2,625
"$2,000",170 Fort York Boulevard,M5V,1,1,
"$3,600",1 Bloor Street East,M4W,2,2,792
"$1,845",68 Abell Street,M6J,1,1,
"$2,250",812 Lansdowne Avenue,M6H,2,2,810
"$2,375",8 Eglinton Avenue East,M4P,2,2,692
"$2,080",85 Queens Wharf Road,M5V,1,1,590
"$2,900",28 Wellesley Street East,M4Y,2,2,693
"$1,950",120 Parliament Street,M5A,1,1,550
"$2,500",218 Queens Quay West,M5J,1,1,553
"$2,850",25 Capreol Court,M5V,2,2,
"$2,000",15 Bruyeres Mews,M5V,1,1,700
"$2,000",8 Telegram Mews,M5V,1,1,
"$7,700",825 Church Street,M4W,2,2,1319
"$3,100",100 Western Battery Road,M6K,2,2,850
"$2,200",50 Charles Street East,M4Y,1,1,
"$2,950",5 Saint Joseph Street,M4Y,1,2,700
